Designator,Mid X,Mid Y,Rotation,Layer
A1,77.978,12.436,270.0,top
BZ1,109.22,19.256,225.0,top
C1,140.462,7.772,90.0,top
C2,113.03,7.264,90.0,top
C3,145.034,9.9275,270.0,top
C4,108.458,7.3945,270.0,top
C5,25.1675,6.858,0.0,bottom
C6,25.044,21.082,0.0,top
C7,89.1325,7.62,0.0,top
D3,28.448,40.8,90.0,bottom
D7,117.856,29.178,90.0,top
J1,70.699,31.0145,0.0,top
J12,102.87,33.274,270.0,top
J13,39.101,52.324,270.0,top
J2,51.293,52.324,270.0,top
J4,90.805,31.0145,0.0,top
J7,15.367,49.271,180.0,top
J9,110.744,33.274,270.0,top
Q1,100.11,29.21,0.0,bottom
Q2,100.804,11.684,0.0,bottom
Q3,36.627,46.008,270.0,top
Q4,41.641,45.974,270.0,top
Q5,91.406,24.495,0.0,top
Q6,80.899,31.009,180.0,top
Q7,52.578,8.128,180.0,bottom
R1,112.284,27.94,0.0,top
R10,36.769,41.436,180.0,top
R11,127.778,30.734,0.0,top
R12,127.778,35.306,0.0,top
R13,146.066,24.13,0.0,bottom
R14,146.066,21.082,180.0,bottom
R15,41.641,41.402,180.0,top
R16,86.63,23.699,0.0,top
R17,95.266,10.668,180.0,bottom
R18,86.63,25.985,0.0,top
R19,81.042,30.811,180.0,bottom
R2,106.95,27.94,0.0,top
R20,57.15,9.144,0.0,bottom
R21,99.314,24.368,270.0,top
R22,77.47,23.876,180.0,top
R3,74.946,25.223,180.0,bottom
R4,102.378,11.684,180.0,top
R5,59.166,24.892,180.0,top
R6,59.198,28.448,180.0,top
R7,63.262,34.544,0.0,top
R8,84.074,17.018,0.0,top
R9,80.264,7.62,180.0,top
U1,139.074,37.846,0.0,top
U2,139.074,30.498,0.0,top
U3,149.733,15.51,90.0,top
U4,126.878,8.568,180.0,top
U5,40.894,12.446,0.0,top
U6,19.9405,4.318,90.0,top
U7,28.022,22.034,0.0,bottom
