Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,1,16V 150uF,
C5,0805,1,100n,
C6,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,1,6.3V 330uF,
D1,D_SMA,1,SS34,
D3,D_SMB_Handsoldering,1,SMBJ15A,
J1,PinHeader_1x02_P2.54mm_Vertical,1,5V,
J2,MPX_Adapter_small_6Pol,1,MPX Kabel,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"R1, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4k7,
U1,LevelConversion_TXB0108,1,LevelConverter,
U6,TBA2-xxxx_liegend,1,TBA2-0511,
U7,QYF-998_RS-422,1,~,
